iter	Passed	Remaining
0	53	52974
1	53	26705
2	54	17949
3	54	13577
4	54	10938
5	55	9180
6	55	7918
7	56	6979
8	56	6244
9	57	5653
10	57	5175
11	58	4782
12	58	4444
13	58	4153
14	59	3903
15	59	3685
16	60	3491
17	60	3325
18	61	3172
19	61	3037
20	62	2906
21	63	2805
22	63	2703
23	64	2608
24	64	2520
25	65	2439
26	65	2367
27	66	2295
28	66	2232
29	67	2173
30	67	2117
31	68	2065
32	68	2013
33	69	1969
34	69	1926
35	70	1886
36	70	1847
37	71	1809
38	72	1774
39	72	1743
40	73	1712
41	73	1681
42	74	1653
43	74	1625
44	75	1597
45	75	1571
46	76	1547
47	76	1524
48	77	1501
49	77	1480
50	78	1459
51	78	1438
52	79	1418
53	79	1399
54	80	1381
55	80	1365
56	81	1348
57	81	1331
58	82	1315
59	82	1299
60	83	1283
61	83	1267
62	84	1253
63	84	1240
64	85	1226
65	85	1214
66	86	1200
67	86	1188
68	87	1176
69	87	1162
70	88	1151
71	88	1140
72	88	1129
73	89	1119
74	89	1109
75	90	1100
76	91	1091
77	91	1081
78	92	1072
79	92	1065
80	93	1057
81	93	1048
82	93	1037
83	94	1028
84	94	1020
85	95	1013
86	95	1006
87	96	999
88	96	992
89	97	985
90	98	979
91	98	973
92	99	966
93	99	959
94	99	952
95	100	946
96	100	938
97	101	932
98	101	926
99	102	921
100	102	914
101	103	909
102	103	902
103	104	897
104	104	891
105	105	886
106	105	881
107	106	876
108	106	870
109	107	865
110	107	861
111	107	856
112	108	850
113	108	846
114	109	841
115	109	837
116	110	831
117	110	827
118	111	822
119	111	818
120	112	814
121	112	809
122	112	804
123	113	800
124	113	796
125	114	792
126	114	787
127	115	783
128	115	779
129	115	775
130	116	771
131	116	767
132	117	764
133	117	760
134	118	756
135	118	753
136	118	749
137	119	745
138	119	742
139	120	738
140	120	734
141	120	729
142	121	726
143	121	723
144	122	720
145	122	717
146	123	715
147	123	713
148	124	710
149	124	707
150	125	704
151	125	701
152	126	698
153	126	695
154	127	692
155	127	689
156	127	686
157	128	684
158	128	681
159	129	678
160	129	674
161	129	671
162	130	668
163	130	666
164	131	663
165	131	661
166	132	658
167	132	656
168	132	653
169	133	651
170	133	649
171	134	647
172	134	645
173	135	643
174	136	641
175	136	639
176	136	636
177	137	634
178	137	632
179	138	630
180	138	628
181	139	626
182	139	624
183	140	622
184	140	619
185	141	617
186	141	615
187	141	613
188	142	610
189	142	608
190	143	607
191	143	605
192	144	603
193	144	601
194	145	599
195	145	598
196	146	596
197	146	594
198	147	592
199	147	590
200	148	589
201	148	588
202	150	589
203	150	588
204	151	588
205	152	586
206	152	585
207	153	584
208	154	582
209	154	581
210	155	580
211	155	578
212	156	576
213	156	575
214	157	573
215	157	572
216	158	570
217	158	569
218	159	567
